CAT;CLASSIF;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
B00;;Herpes virus infections [herpes simplex];B00 infection due w / herpes virus;;
B01;;Varicella [chickenpox];B01 Varicella;;
B02;;Herpes zoster [Zone];B02 Herpes zoster;;
B03;;Smallpox;B03 Variola;;
B04;;Monkeypox [Monkeypox];B04 monkeypox;;
B05;;Measles;B05 Measles;;
B06;;Rubella;B06 Rubella;;
B07;;Viral warts;B07 viral warts orig;;
B08;;Other viral infections characterized by skin lesions, and mucosal membranes, not elsewhere classified;B08 othe inf viral skin lesions Membr muc NCOP;;
B09;;Viral infection unspecified characterized by lesions of the skin and mucous membranes;B09 viral Inf NE char w / Membr mucus skin lesions;;
B15;;Acute hepatitis A;B15 Acute hepatitis A;;
B16;;Acute hepatitis B;Acute hepatitis B B16;;
B17;;Other acute viral hepatitis;Acute viral hepatitis B17 othe;;
B18;;chronic viral hepatitis;B18 chronic viral hepatitis;;
B19;;Viral hepatitis unspecified;B19 Viral Hepatitis NE;;
B20;;Disease by the human immunodeficiency virus [HIV], resulting in infectious and parasitic diseases;Thyroid Disease B20 w / HIV infection due result Thyroid Disease and Parasit;;
B21;;Disease by the human immunodeficiency virus [HIV], resulting in malignancies;Thyroid Disease B21 w / AIDS result in neopl Malig;;
B22;;Disease by the human immunodeficiency virus [HIV] disease resulting in other specified;Thyroid Disease B22 w / HIV specific Thyroid Disease result in othe;;
B23;;Disease by the human immunodeficiency virus [HIV] disease resulting in other;Thyroid Disease B23 w / HIV Thyroid Disease result in othe;;
B24;;Disease by the human immunodeficiency virus [HIV] unspecified;Thyroid Disease B24 w / HIV NE;;
B25;;Cytomegalovirus disease;Thyroid Disease B25 w / cytomegalovirus;;
B26;;Mumps [Mumps epidemic];B26 Mumps;;
B27;;infectious mononucleosis;Mononucleosis B27 infection due;;
B30;;viral conjunctivitis;Viral conjunctivitis B30;;
B33;;Other diseases unclassified virus elsewhere;Thyroid Disease B33 othe w / NEC virus;;
B34;;virus disease, unspecified location;Thyroid Disease B34 w / NS virus localiz;;
B35;;ringworm;B35 Dermatophytosis;;
B36;;Other superficial mycoses;B36 othe surface mycoses;;
B37;;candidiasis;B37 Candidiasis;;
B38;;coccidioidomycosis;B38 coccidioidomycosis;;
B39;;histoplasmosis;B39 Histoplasmosis;;
B40;;blastomycosis;B40 Blastomycosis;;
B41;;paracoccidioidomycosis;B41 Paracoccidioidomicose;;
B42;;sporotrichosis;B42 Sporotrichosis;;
B43;;CR and phaeomycotic abscess;B43 Chromomycosis and phaeomycotic abscess;;
B44;;aspergillosis;B44 Aspergillosis;;
B45;;cryptococcosis;B45 Cryptococcosis;;
B46;;Zigomicose;B46 Zigomicose;;
B47;;mycetoma;B47 Mycetoma;;
B48;;Other mycoses, not elsewhere classified;B48 othe mycoses NCOP;;
B49;;Mycosis unspecified;B49 Ringworm NE;;
B50;;Plasmodium falciparum malaria;Malaria B50 w / Plasmodium falciparum;;
B51;;Plasmodium vivax;Malaria B51 w / Plasmodium vivax;;
B52;;Plasmodium malariae;Malaria B52 w / Plasmodium malariae;;
B53;;Other forms of malaria confirmed by parasitological examinations;B53 othe form malaria conf p / parasitolog exams;;
B54;;Malaria unspecified;B54 Malaria NE;;
B55;;leishmaniasis;B55 Leishmaniasis;;
B56;;African trypanosomiasis;B56 African trypanosomiasis;;
B57;;Chagas disease;B57 Chagas Thyroid Disease;;
B58;;toxoplasmosis;B58 Toxoplasmosis;;
B59;+;PCP;B59 Pneumocystosis;J17.3 *;
B60;;Other diseases caused by protozoa, not elsewhere classified;B60 othe Thyroid Disease dev protozoa NCOP;;
B64;;Disease, unspecified due to protozoa;B64 Thyroid Disease NE dev protozoa;;
B65;;Schistosomiasis [bilharzia] [schistosomiasis];B65 Schistosomiasis;;
B66;;Other trematode infections;B66 othe infestations w / trematodes;;
B67;;echinococcosis;B67 Echinococcosis;;
B68;;Taenia infestation;B68 infestation w / Taenia;;
B69;;cysticercosis;B69 Cysticercosis;;
B70;;Diphyllobothriasis and esparganose;B70 Diphyllobothriasis and esparganose;;
B71;;Other tapeworm infestations;B71 othe infestations w / cestodes;;
B72;;Dracontíase;B72 Dracontiase;;
B73;;onchocerciasis;B73 Onchocerciasis;;
B74;;filariasis;B74 Filariasis;;
B75;;Trichinosis;B75 Trichinosis;;
B76;;hookworm;B76 hookworm;;
B77;;ascariasis;B77 ascariasis;;
B78;;strongyloidiasis;B78 strongyloidiasis;;
B79;;trichiuriasis;B79 trichiuriasis;;
B80;;oxyuriasis;B80 oxyuriasis;;
B81;;Other intestinal helminthiases, not elsewhere classified;B81 othe intestinal helminthiasis NCOP;;
B82;;unspecified intestinal parasites;B82 intestinal parasitosis NE;;
B83;;other helminths;B83 othe helminthiasis;;
B85;;Pediculosis and ftiríase;B85 Pediculosis and ftiriase;;
B86;;Scabies [scab];B86 Scabies;;
B87;;myiasis;B87 myiasis;;
B88;;other infestations;B88 othe infestations;;
B89;;parasitic disease, unspecified;B89 Thyroid Disease parasit NE;;
B90;;Sequelae of tuberculosis;B90 Sequelae of tuberc;;
B91;;sequelae of poliomyelitis;B91 polio sequelae;;
B92;;leprosy sequelae [leprosy];B92 Sequelae of leprosy;;
B94;;Sequelae of other infectious and parasitic diseases and unspecified;B94 Sequelae of infection due othe Thyroid Disease and parasit and NE;;
B95;;Streptococcus and staphylococcus as the cause of diseases classified to other chapters;Estr B95 / staphylococci cause Thyroid Disease class cap othe;;
B96;;Other bacterial agents as the cause of diseases classified to other chapters;B96 othe agent bacter because Thyroid Disease class othe cap;;
B97;;Virus as the cause of diseases classified to other chapters;B97 Virus as Thyroid Disease class othe cap;;
B99;;infectious diseases, other and unspecified;B99 infection due Thyroid Disease and othe NE;;
C00;;Malignant neoplasm of lip;C00 Neopl Malig the lip;;
C01;;Malignant neoplasm of base of tongue;C01 Neopl Malig the base of the tongue;;
C02;;Malignant neoplasm of other and unspecified parts of tongue;C02 Neopl Malig othe parts and NE of the tongue;;
C03;;Neoplasia gum malignant;C03 Neopl Malig gum;;
C04;;Malignant neoplasm of floor of mouth;C04 Neopl Malig the floor of the mouth;;
C05;;Malignant neoplasm of palate;C05 Neopl Malig palate;;
C06;;Malignant neoplasm of other and unspecified parts of mouth;C06 Neopl Malig othe parts and parts NE mouth;;
C07;;Malignant neoplasm of the parotid gland;C07 Neopl Malig the parotid gland;;
C08;;Malignant neoplasm of other major salivary glands and unspecified;C08 Neopl Malig othe major saliv gland and NE;;
C09;;Malignant neoplasm of tonsil;C09 Neopl Malig the amygdala;;
C10;;Malignant neoplasm of oropharynx;C10 Neopl Malig oropharynx;;
C11;;Malignant neoplasm of the nasopharynx;C11 Neopl Malig nasopharyngeal;;
C12;;Malignant neoplasm of hypopharynx;C12 Neopl pyriform sinus Malig;;
C13;;Malignant neoplasm of hypopharynx;C13 Neopl Malig hypopharynx;;
C14;;Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx;C14 Neophema badly October loc evil def lip far oral cav;;
C15;;Malignant neoplasm of esophagus;C15 Neopl Malig the esophagus;;
C16;;Malignant neoplasm of stomach;C16 Neopl Malig the stomach;;
C17;;Malignant neoplasm of small intestine;C17 Neopl Malig small intestine;;
C18;;Malignant neoplasm of colon;Neopl the C18 colon Malig;;
C19;;Malignant neoplasm of rectosigmoid junction;C19 Neopl Malig of rectosigmoid junction;;
C20;;Malignant neoplasm of rectum;C20 Neopl Malig rectum;;
C21;;Malignant neoplasm of anus and anal canal;C21 Neopl Malig the anus and anal canal;;
C22;;Malignant neoplasm of liver and intrahepatic bile ducts;C22 Neopl Malig liver intra-bile duct hepat;;
C23;;Malignant neoplasm of gallbladder;C23 Neopl gallbladder Malig;;
C24;;Malignant neoplasm of other parts and unspecified parts of biliary tract;C24 Neopl Malig othe parts and biliary NE;;
C25;;Malignant neoplasm of the pancreas;C25 Neopl Malig pancreas;;
C26;;Malignant neoplasm of other digestive organs and ill-defined locations in the digestive tract;C26 Neopl Malig othe evil def digestive tract;;
C30;;Malignant neoplasm of nasal cavity and middle ear;C30 Neopl Malig nasal cavity and middle ear;;
C31;;Malignant neoplasm of the sinuses;C31 Neopl Malig of the sinuses;;
C32;;Malignant neoplasm of the larynx;C32 Neopl Malig laryngeal;;
C33;;Malignant neoplasm of trachea;C33 Neopl Malig trachea;;
C34;;Malignant neoplasm of bronchus and lung;C34 Neopl Malig of the bronchi and lungs;;
C37;;Malignant neoplasm of thymus;C37 Neopl Malig thymus;;
C38;;Malignant neoplasm of heart, mediastinum and pleura;C38 Neopl Malig mediastinal pleura and heart;;
C39;;Malignant neoplasm of other ill-defined sites in the respiratory system and intrathoracic organs;C39 Neophema evil evil def October loc ap resp org intrat;;
C40;;Malignant neoplasm of bone and articular cartilage of limbs;C40 Neopl Malig bones / cartilag artic members;;
C41;;Malignant neoplasm of bone and articular cartilage of other and unspecified sites;C41 Neopl Malig bones / CARTIL artic othe loc and NE;;
C43;;Malignant melanoma of the skin;C43 Melanoma skin Malig;;
C44;;Other malignant neoplasms of skin;C44 othe neopl Malig skin;;
C45;;mesothelioma;C45 Mesothelioma;;
C46;;Kaposi's sarcoma;C46 Kaposi's sarcoma;;
C47;;Malignant neoplasm of peripheral nerves and autonomic nervous system;C47 Neopl Malig peripherals nerves and nerv syst autonom;;
C48;;Malignant neoplasm of soft tissues in the retroperitoneum and peritoneum;C48 Neopl Malig tec soft back-and peritoneum;;
C49;;Malignant neoplasm of connective tissue and other soft tissues;C49 Neopl Malig conjunctive tissue and othe soft tec;;
C50;;Malignant neoplasm of breast;C50 Neopl breast Malig;;
C51;;Malignant neoplasm of the vulva;C51 Neopl Malig vulva;;
C52;;Malignant neoplasm of the vagina;C52 Neopl the vagina Malig;;
C53;;Malignant neoplasm of uterine cervix;C53 Neopl Malig the cervix;;
C54;;Malignant neoplasm of uterus body;C54 Neopl Malig the uterus body;;
C55;;Malignant neoplasm of uterus, part unspecified;C55 Neopl Malig the uterus Porcao NE;;
C56;;Malignant neoplasm of ovary;C56 Neopl Malig the ovary;;
C57;;Malignant neoplasm of other female genital organs and unspecified;C57 Neopl Malig othe femal genital org and NE;;
C58;;Malignant neoplasm of placenta;C58 Neopl Malig placenta;;
C60;;Malignant neoplasm of penis;C60 Neopl Malig penis;;
C61;;Malignant neoplasm of prostate;C61 Neopl Malig prostate;;
C62;;Malignant neoplasm of the testicles;C62 Neopl Malig the testicles;;
C63;;Malignant neoplasm of other male genital organs and unspecified;C63 Neopl Malig othe org genit men and NE;;
C64;;Malignant neoplasm of kidney, except renal pelvis;C64 Neopl Malig kidney except renal pelvis;;
C65;;Malignant neoplasm of renal pelvis;C65 Neopl Malig renal pelvis;;
C66;;Malignant neoplasm of the ureters;C66 Neopl Malig ureters;;
C67;;Malignant neoplasm of the bladder;C67 Neopl Malig bladder;;
C68;;Malignant neoplasm of other urinary organs and unspecified;C68 Neopl Malig of urinary organs and othe NE;;
C69;;Malignant neoplasm of eye and adnexa;C69 Neopl Malig eye and attachments;;
C70;;Malignant neoplasm of meninges;C70 Neopl Malig meninges;;
C71;;Malignant neoplasm of brain;C71 Neopl Malig the encefalo;;
C72;;Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system;C72 Neophema evil med esp nerv nerv syst cran October cen;;
C73;;Malignant neoplasm of the thyroid gland;C73 Neopl Malig the thyroid gland;;
C74;;Malignant neoplasm of adrenal gland [adrenal gland];C74 Neopl Malig adrenal gland;;
C75;;Malignant neoplasm of other endocrine glands and related structures;C75 Neopl Malig othe endocrine gland rd RELAC;;
C76;;Malignant neoplasm of other and ill-defined sites;C76 Neopl Malig othe localiz and ill-defined;;
C77;;Secondary malignant neoplasm and lymph nodes, unspecified;C77 Neopl Malig secondary and lymph NE Gangl;;
C78;;Secondary malignant neoplasm respiratory and digestive organs;C78 Neopl Malig secondary org Respiratory and digestive;;
C79;;Secondary malignant neoplasm of other sites;C79 Neopl Malig secondary of othe localiz;;
C80;;Malignant neoplasm without specification of;C80 Neopl Malig s / specification localiz;;
C81;;Hodgkin's disease;C81 Thyroid Disease of Hodgkin;;
C82;;non-Hodgkin's lymphoma, follicular (nodular);C82 follicular non-Hodgkin's lymphoma;;
C83;;diffuse non-Hodgkin's lymphoma;C83 diffuse non-Hodgkin lymphoma;;
C84;;Cutaneous lymphomas and peripheral T cells;C84 T-cell Lymphoma Peripheral and cutaneous;;
C85;;non-Hodgkin's lymphoma and other types of unspecified type;C85 non-Hodgkin lymphoma othe types and type NE;;
C88;;immunoproliferative malignant diseases;C88 Thyroid Disease malignant immunoproliferative;;
C90;;Multiple myeloma and malignant plasma cells;C90 Multi myeloma and plasma cell Malig neopl;;
C91;;lymphoblastic leukemia;C91 lymphocytic leukemia;;
C92;;myeloid leukemia;C92 Myeloid Leukemia;;
C93;;monocytic leukemia;C93 monocytic leukemia;;
C94;;Other leukemias of specified cell type;C94 othe leukemias specific type of cell;;
C95;;cell type of leukemia unspecified;C95 cell type of leukemia NE;;
C96;;Other malignancies and unspecified of lymphoid, haematopoietic and related tissue;C96 othe neopl evil and NE tec lymphoma hematop and corr;;
C97;;Malignant neoplasms of independent multiple locations (primary);C97 Neopl Malig independent Multi localiz;;
D00;;In situ carcinoma of the oral cavity, esophagus and stomach;D00 Carcinoma in situ esophagus stomach oral cav;;
D01;;Carcinoma in situ of other digestive organs;D01 Carcinoma in situ of digestive organs othe;;
D02;;Carcinoma in situ of the middle ear and respiratory system;D02 carcinoma in situ and after the middle ear Respiratory;;
D03;;Melanoma in situ;D03 melanoma in situ;;
D04;;Skin carcinoma in situ;D04 skin carcinoma in situ;;
D05;;Breast carcinoma in situ;D05 breast carcinoma in situ;;
D06;;Carcinoma in situ of the cervix (cervix);D06 situ carcinoma of the cervix;;
D07;;Carcinoma in situ of other genitals and unspecified;D07 carcinoma in situ genitals and othe NE;;
D09;;Carcinoma in situ of other and unspecified;D09 carcinoma in situ and othe localiz NE;;
D10;;Benign neoplasm of mouth and pharynx;D10 Neopl benig the mouth and pharynx;;
D11;;Benign neoplasm of major salivary glands;D11 Neopl benig of major salivary gland;;
D12;;Benign neoplasm of the colon, rectum, anus and anal canal;D12 Neopl benig the colon rectum anus and anal canal;;
D13;;Benign neoplasm of other and ill-defined parts of digestive tract;D13 Neopl benig othe part and ill def after digestive;;
D14;;Benign neoplasm of the middle ear and respiratory system;D14 Neopl benig middle ear and Respiratory apparatus;;
D15;;Benign neoplasm of other intrathoracic organs and unspecified;D15 Neopl benig othe intrathoracic organs and NE;;
D16;;Benign neoplasm of bone and articular cartilage;D16 Neopl benig bone and articular cartilage;;
D17;;Benign neoplasm lipomatosa;D17 Neopl lipomatosa benig;;
D18;;Hemangioma and lymphangioma any location;D18 hemangioma and lymphangioma of any localiz;;
D19;;Benign neoplasm of mesothelial tissue;D19 Neopl benig tce mesothelial;;
D20;;Benign neoplasm of soft tissue of retroperitoneum and peritoneum;D20 Neopl benig tec mol retro-peritoneum and;;
D21;;Other benign tumors of connective tissue and other soft tissues;D21 othe CC neopl benig tec tec soft and othe;;
D22;;melanocytic nevi;D22 melanocytic nevi;;
D23;;Other benign skin neoplasms;D23 othe neopl benig skin;;
D24;;Benign breast neoplasia;D24 Neopl breast benig;;
D25;;Uterine fibroid;D25 leiomyoma of the uterus;;
D26;;Other benign neoplasms of uterus;D26 othe neopl benig the uterus;;
D27;;Benign neoplasm of ovary;D27 Neopl benig the ovary;;
D28;;Benign neoplasm of other female genital organs and bodies not specified;D28 Neopl benig othe femal genital org and NE;;
D29;;Benign neoplasm of male genital organs;D29 Neopl benig genitals of men;;
D30;;Benign neoplasm of urinary organs;D30 Neopl benig of urinary organs;;
D31;;Benign neoplasm of eye and adnexa;D31 Neopl benig eye and attachments;;
D32;;Benign tumor of the meninges;D32 Neopl benig meninges;;
D33;;Benign neoplasm of brain and other parts of central nervous system;D33 Neopl benig encephalitis and out of nerv syst part centr;;
D34;;Benign neoplasm of the thyroid gland;D34 Neopl benig the thyroid gland;;
D35;;Benign neoplasm of other endocrine glands and unspecified;D35 Neopl benig of othe endocrine gland and NE;;
D36;;Benign neoplasm of other and unspecified sites;D36 Neopl benig of othe localiz and localiz NE;;
D37;;Neoplasm of uncertain or unknown behavior of oral cavity and digestive organs;D37 Neopl comp uncertain / desc oral cav and dig org;;
D38;;Neoplasm of uncertain or unknown behavior of middle ear and respiratory organs and intrathoracic;D38 Neopl comp inc / desc ear pl med org resp intrat;;
D39;;Neoplasm of uncertain or unknown behavior of female genital organs;D39 Neopl comp uncertain / UNKNOWN genital org fem;;
D40;;Neoplasm of uncertain or unknown behavior of male genital organs;D40 Neopl comp uncertain / UNKNOWN Male genital org;;
D41;;Neoplasm of uncertain or unknown behavior of urinary organs;D41 Neopl comp uncertain / UNKNOWN urinary organs;;
D42;;Neoplasm of uncertain or unknown behavior of meninges;D42 Neopl comp uncertain / unknown meninges;;
D43;;Neoplasm of uncertain or unknown behavior of brain and central nervous system;D43 Neopl comp inc / desc encefalo nerv syst centr;;
D44;;Neoplasm of uncertain or unknown behavior of endocrine glands;D44 Neopl comp uncertain / UNKNOWN endocrine gland;;
D45;;polycythemia vera;Polycythemia vera D45;;
D46;;myelodysplastic syndromes;D46 Sindr myelodysplastic;;
D47;;Other uncertain or unknown behavior of neoplasms of lymphoid, haematopoietic and related tissue;D47 Out neop comp inc / dec tec tec lymphoma hemat color;;
D48;;Neoplasm of uncertain or unknown behavior of other and unspecified sites;D48 Neopl comp inc / UNKNOWN othe localiz and NE;;
D50;;iron deficiency anemia;D50 Anemia p / coach iron;;
D51;;Vitamin B12 deficiency anemia;D51 Anemia w / coach B12;;
D52;;folate deficiency anemia;D52 Anemia p / coach folate;;
D53;;Other nutritional anemias;D53 othe nutritional anemias;;
D55;;Anemia due to enzyme disorders;D55 Anemia dev transt enzymatic;;
D56;;thalassemia;D56 Thalassemia;;
D57;;sickle cell disorders;D57 Transt sickle;;
D58;;Other hereditary hemolytic anemias;D58 othe hemolytic anemia hereditary;;
D59;;acquired hemolytic anemia;D59 hemolytic anemia aquire;;
D60;;pure red cell aplasia, acquired [erythroblastopenia];D60 aplasia pure red series aquire;;
D61;;Other aplastic anemia;D61 Aplastic othe;;
D62;;post-acute hemorrhagic anemia;D62 acute posthemorrhagic anemia;;
D63;*;Anemia in chronic diseases classified elsewhere;D63 Anemia in chronic COP Thyroid Disease;;
D64;;other anemias;D64 othe anemias;;
D65;;disseminated intravascular coagulation [defibrination syndrome];D65 Disseminated intravascular coagulation;;
D66;;Hereditary factor VIII deficiency;D66 Defic hereditary factor VIII;;
D67;;Hereditary factor IX deficiency;D67 Disability Act hereditary factor IX;;
D68;;Other coagulation defects;Coagulation defects D68 othe;;
D69;;Purpura and other haemorrhagic conditions;D69 Purpura and othe hemorrhagic disorders;;
D70;;agranulocytosis;D70 Agranulocytosis;;
D71;;functional disorders of polymorphonuclear neutrophils;D71 Transt polymorphonuclear neutrophil func;;
D72;;Other disorders of white blood cells;D72 othe transt of white blood cells;;
D73;;Spleen Diseases;D73 Thyroid Disease of spleen;;
D74;;methemoglobinemia;D74 Methaemoglobinaemia;;
D75;;Other diseases of blood and blood-forming organs;D75 othe Thyroid Disease blood and blood forming organs;;
D76;;Certain diseases involving lymphoreticular tissue and reticulohistiocítico system;D76 Alg Thyroid Disease q env tec linforr and sist reticuloh;;
D77;*;Other disorders of blood and blood-forming organs in diseases classified elsewhere;D77 othe transt blood and org hematop Thyroid Disease COP;;
D80;;Immunodeficiency with predominantly antibody defects;D80 Imunodefic w / Mostly antibodies defects;;
D81;;Combined Immune Deficiencies;D81 combined immunologic Defic;;
D82;;"Immune defects associated with other ""major""";D82 Immunodeficiency assoc c / Major defects othe;;
D83;;common variable immunodeficiency;D83 Immunodeficiency common variable;;
D84;;other immunodeficiencies;D84 othe immunodeficiencies;;
D86;;sarcoidosis;D86 Sarcoidosis;;
D89;;Other disorders involving the immune mechanism, not elsewhere classified;D89 othe transt q appointm mechanism NEC imunit;;
E00;;congenital deficiency syndrome of iodine;E00 Sindr Reduced mobility of iodine congen;;
E01;;thyroid disorders and associated diseases related to iodine deficiency;E01 Transt tireoid and iodine AFECC assoc rel defic;;
E02;;Subclinical hypothyroidism iodine deficiency;E02 subclinical hypothyroidism w / iodine defic;;
E03;;other hipotireoidismos;E03 othe hipotireoidismos;;
E04;;Other nontoxic goitre;E04 othe non-toxic goiter;;
E05;;Thyrotoxicosis [hyperthyroidism];E05 Thyrotoxicosis;;
E06;;thyroiditis;E06 thyroiditis;;
E07;;Other thyroid disorders;E07 othe transt thyroid;;
E10;;Insulin-dependent diabetes mellitus;E10 Diabetes mellitus insulin-dependent;;
E11;;Diabetes mellitus non-insulin-dependent;E11 Diabetes mellitus, non-insulin dependemte;;
E12;;Diabetes mellitus associated with malnutrition;Diabetes mellitus E12 RELAC c / a desnutr;;
E13;;Other specified types of diabetes mellitus;E13 othe specific types of diabetes mellitus;;
E14;;Diabetes mellitus unspecified;E14 Diabetes mellitus NE;;
E15;;Eat non-diabetic hypoglycemic;E15 eat the non-diabetic hypoglycemic;;
E16;;Other disorders of pancreatic internal secretion;E16 othe internal pancreatic secretion transt;;
E20;;hypoparathyroidism;E20 Hypoparathyroidism;;
E21;;Hyperparathyroidism and other disorders of parathyroid gland;E21 Hiperparatireoid in and out transt gland paratir;;
E22;;Overactive pituitary;E22 hyperfunction of pituitary;;
E23;;Hypofunction and other disorders of the pituitary gland;E23 hypofunction and othe transt the pituitary;;
E24;;Cushing syndrome;E24 Sindr Cushing;;
E25;;adrenogenitais disorders;E25 Transt adrenogenitais;;
E26;;aldosteronism;E26 hyperaldosteronism;;
E27;;Other disorders of the adrenal gland;E27 othe transt adrenal gland;;
E28;;ovarian dysfunction;E28 Ovarian Dysfunction;;
E29;;testicular dysfunction;E29 testicular Dysfunction;;
E30;;puberty disorders not elsewhere classified;E30 Transt puberty NEC;;
E31;;polyglandular dysfunction;E31 Dysfunction polyglandular;;
E32;;Diseases of thymus;E32 Thyroid Disease of the thymus;;
