SUBCAT;CLASSIF;RESTRSEXO;CAUSAOBITO;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
A502;;;;Early congenital syphilis, unspecified;A50.2 Syphilis early congen NE;;
A503;;;;Oculopatia late congenital syphilis;A50.3 Oculopatia syphilitic congen tard;;
A504;;;;Late congenital neurosyphilis [juvenile neurosyphilis];Neurosyphilis A50.4 congen tard;;
A505;;;;Other late and symptomatic forms of congenital syphilis;A50.5 othe form tard and sintomat syphilis congen;;
A506;;;;Late latent congenital syphilis;A50.6 Syphilis congen latent tard;;
A507;;;;Late congenital syphilis, unspecified;A50.7 Syphilis congen tard NE;;
A509;;;;congenital syphilis, unspecified;A50.9 Syphilis congen NE;;
A510;;;;Primary genital syphilis;A51.0 prim genital syphilis;;
A511;;;;Anal primary syphilis;A51.1 prim anal syphilis;;
A512;;;;Primary syphilis of other sites;Prim A51.2 Syphilis of othe localiz;;
A513;;;;Secondary syphilis of skin and mucous;A51.3 Secondary syphilis of skin and mucous;;
A514;;;;Other forms of secondary syphilis;A51.4 othe form of secondary syphilis;;
A515;;;;early latent syphilis;A51.5 early latent syphilis;;
A519;;;;Early syphilis, unspecified;A51.9 Early syphilis NE;;
A520;+;;;cardiovascular syphilis;A52.0 Cardiovascular syphilis;;
A521;;;;symptomatic neurosyphilis;Neurosyphilis A52.1 symptomatic;;
A522;;;;asymptomatic neurosyphilis;A52.2 Asymptomatic neurosyphilis;;
A523;;;;Unspecified Neurosyphilis;Neurosyphilis A52.3 NE;;
A527;;;;Other forms of symptomatic late syphilis;A52.7 othe form of syphilis symptomatic tard;;
A528;;;;latent late syphilis;A52.8 Syphilis latent tard;;
A529;;;;Late syphilis, unspecified;A52.9 Syphilis tard NE;;
A530;;;;Latent syphilis, unspecified whether recent or late;A53.0 Latent syphilis NE is recent or tard;;
A539;;;;Syphilis unspecified;A53.9 Syphilis NE;;
A540;;;;gonococcal infection of the lower genitourinary tract without periurethral abscess or accessory glands;A54.0 Inf argon three genit inf s / abs periur / gland aces;;
A541;;;;gonococcal infection of the lower genitourinary tract with periurethral abscess or accessory glands;A54.1 argon three genit inf inf w / abs periur / gland aces;;
A542;;;;gonococcal Pelviperitonite and other gonococcal genitourinary infections;A54.2 Pelviperit gonoc and othe infection due genitur gonoc;;
A543;;;;gonococcal eye infection;A54.3 Gonococcal eye infection due;;
A544;+;;;gonococcal infection of the musculoskeletal system;A54.4 gonococcal infection due sist musculo-skeletal;;
A545;;;;gonococcal pharyngitis;Gonococcal pharyngitis A54.5;;
A546;;;;gonococcal infection of the anus or rectum;A54.6 gonococcal infection due anus or rectum;;
A548;;;;Other gonococcal infections;A54.8 othe gonococcal infection due;;
A549;;;;Gonococcal infection unspecified;A54.9 gonococcal infection due NE;;
A55;;;;Lymphogranuloma (venereal) Chlamydia;A55 Lymphogranuloma w / chlamydia;;
A560;;;;Chlamydia infections of the lower genitourinary tract;A56.0 infection due p / Chlamydia genitourinary tract infer;;
A561;;;;Chlamydial infection, pelviperitonial and other genitourinary organs;A56.1 infection due p / pelviper clamid and othe org genitur;;
A562;;;;Chlamydial infection of the genitourinary tract, unspecified site;A56.2 infection due p / Chlamydia tract genitur localiz NE;;
A563;;;;Infection of the anus and rectum Chlamydia;A56.3 infection due anus and rectum p / Chlamydia;;
A564;;;;pharyngeal chlamydial infection;A56.4 infection due pharynx w / Chlamydia;;
A568;;;;Infection with Chlamydia sexually transmitted from other locations;A56.8 infection due w / w clamid transm / via othe location fri;;
A57;;;;chancroid;A57 mol Cancer;;
A58;;;;granuloma inguinal;A58 Granuloma inguinal;;
A590;;;;trichomoniasis urogenital;A59.0 Trichomoniasis urogenital;;
A598;;;;Other locations of trichomoniasis;A59.8 othe localiz of trichomoniasis;;
A599;;;;Trichomoniasis unspecified;A59.9 Trichomoniasis NE;;
A600;;;N;Infection of the genitals and genitourinary tract by herpes virus;A60.0 infection due org genit genitur tx w / herpes virus;;
A601;;;;Infection of the skin edge of the anus and rectum by herpes virus;A60.1 infection due cutan margin anus / rectum w / herpes virus;;
A609;;;;anogenital infection not specified by the herpes virus;A60.9 anogenital infection due NE w / herpes virus;;
A630;;;;Anogenital warts (venereal);A63.0 Anogenital warts;;
A638;;;;Other specified diseases of predominantly sexually transmitted;Thyroid Disease A63.8 othe specific Mostly sexual transm;;
A64;;;;sexually transmitted diseases, unspecified;A64 Thyroid Disease sexually transm NE;;
A65;;;;Non-venereal syphilis;Syphilis Non-A65 Venerea;;
A660;;;;Initial lesions of yaws;A66.0 early lesions of yaws;;
A661;;;;multiple papillomas and yaws plant moist (yaws clove);Papillomas and yaws A66.1 Multi plant moist;;
A662;;;;Other early skin lesions of yaws;A66.2 othe early lesions of cutaneous yaws;;
A663;;;;Hyperkeratosis due to yaws;A66.3 Hyperkeratosis dev yaws;;
A664;;;;Gums and ulcers due to yaws;A66.4 gums and ulcers dev yaws;;
A665;;;;Gangosa;A66.5 Gangosa;;
A666;;;;Lesions due to osteoarticular yaws;A66.6 Lesions osteoarticular dev yaws;;
A667;;;;Other manifestations of yaws;A66.7 othe manifestations of yaws;;
A668;;;;latent yaws;Latent A66.8 Bouba;;
A669;;;;Yaws unspecified;A66.9 Bouba NE;;
A670;;;;primary lesions Pt;A67.0 Lesions prim pint;;
A671;;;;Intermediate lesions of pinta;A67.1 Lesions intermediate pint;;
A672;;;;Late lesions Pt;A67.2 Lesions tard pint;;
A673;;;;Mixed lesions Pt;A67.3 Lesions mixed pint;;
A679;;;;Pt unspecified;A67.9 Pinta NE;;
A680;;;;recurrent fever transmitted by lice;Recurrent fever A68.0 transm w / lice;;
A681;;;;relapsing fever transmitted by ticks;A68.1 Fever recurrent transm p / ticks;;
A689;;;;recurrent fever, unspecified;A68.9 recurring fever NE;;
A690;;;;Necrotizing ulcerative stomatitis;A69.0 Necrotizing ulcerative stomatitis;;
A691;;;;Other Vincent's infections;A69.1 othe Vincent infection due;;
A692;;;;Lyme disease;A69.2 Lyme Thyroid Disease;;
A698;;;;Other infections specified by spirochetes;A69.8 specific infection due othe w / spirochetes;;
A699;;;;Spirochete infection, unspecified;A69.9 infection due w / NE spirochete;;
A70;;;;Infections caused by Chlamydia psittaci;A70 caused infection due p / Chlamydia psittaci;;
A710;;;N;Initial stage of trachoma;A71.0 Initial stage of trachoma;;
A711;;;N;active phase of trachoma;A71.1 Active stage of trachoma;;
A719;;;N;Trachoma unspecified;A71.9 Trachoma NE;;
A740;+;;N;Conjunctivitis caused by Chlamydia;A74.0 conjunctivitis caused w / Chlamydia;H13.1 *;
A748;;;;Other diseases caused by chlamydiae;A74.8 othe Thyroid Disease caused p / Chlamydia;;
A749;;;;Chlamydial infection caused by unspecified;A74.9 infection due caused w / NE Chlamydia;;
A750;;;;epidemic typhus transmitted by lice because of Rickettsia prowazekii;A75.0 Typhus epidem transm w / lice R. prowazekii;;
A751;;;;Recrudescent typhus [Brill's disease];A75.1 Typhus recrudescent;;
A752;;;;Typhus by Rickettsia typhi;A75.2 Typhus w / Rickettsia typhi;;
A753;;;;Typhus by Rickettsia tsutsugamuchi;A75.3 Typhus w / Rickettsia tsutsugamuchi;;
A759;;;;Typhus unspecified;A75.9 Typhus NE;;
A770;;;;Rocky Mountain spotted fever by Rickettsia richettsii;A77.0 spotted fever w / Rickettsia richettsii;;
A771;;;;Rocky Mountain spotted fever by Rickettsia conorii;A77.1 spotted fever w / Rickettsia conorii;;
A772;;;;Rocky Mountain spotted fever due to Rickettsia siberica;A77.2 Spotted Fever Rickettsia siberica dev;;
A773;;;;Rocky Mountain spotted fever due to Rickettsia australis;A77.3 Spotted Fever Rickettsia australis dev;;
A778;;;;Other fevers spotted;A77.8 othe spotted fevers;;
A779;;;;unspecified spotted fever;A77.9 Spotted Fever NE;;
A78;;;;Q Fever;A78 Q fever;;
A790;;;;Trench fever;A79.0 Fever trenches;;
A791;;;;Rickettsiose varicelliform due to Rickettsia akari;A79.1 Rickettsiosis varicelliform dev R. akari;;
A798;;;;Other specified Rickettsiosis;A79.8 othe types of specific rickettsial infections;;
A799;;;;Unspecified Rickettsiosis;A79.9 Rickettsiosis NE;;
A800;;;;acute paralytic poliomyelitis, the vaccine virus associated;A80.0 paral acute polio virus vaccine assoc;;
A801;;;;acute paralytic poliomyelitis, wild virus imported;A80.1 Poliomiel paral acute import wild virus;;
A802;;;;acute paralytic poliomyelitis, indigenous wild virus;A80.2 Poliomiel paral acute virus wild indig;;
A803;;;;Acute paralytic poliomyelitis, other and unspecified;A80.3 Acute paralytic poliomyelitis and othe NE;;
A804;;;;non-paralytic poliomyelitis;A80.4 non-paralytic poliomyelitis;;
A809;;;;poliomyelitis unspecified;A80.9 poliomyelitis NE;;
A810;;;;Creutzfeldt-Jakob disease;A81.0 Thyroid Disease Creutzfeldt-Jakob disease;;
A811;;;;SSPE;A81.1 panencephalitis subacute sclerosing;;
A812;;;;Progressive multifocal leukoencephalopathy;A81.2 Progressive multifocal leukoencephalopathy;;
A818;;;;Other atypical infections of the central nervous system virus;A81.8 infection due othe w / virus atipic central nerv syst;;
