CAT;DESCRICAO;REFER
M8251 / 0;alveolar adenoma;D14.3
M8251 / 3;adenocarcinoma alveolar;C34.-
M8260 / 0;Adenoma papillary SOE;
M8260 / 3;Papillary adenocarcinoma NOS;
M8261 / 1;Villous adenoma SOE;
M8261 / 2;Adenocarcinoma in situ villous adenoma;
M8261 / 3;Adenocarcinoma in villous adenoma;
M8262 / 3;adenocarcinoma villous;
M8263 / 0;Tubulovillous adenoma SOE;
M8263 / 2;Adenocarcinoma in situ tubulovillous adenoma;
M8263 / 3;Adenocarcinoma in tubulovillous adenoma;
M8270 / 0;adenoma chromophobe;D35.2
M8270 / 3;chromophobe carcinoma;C75.1
M8271 / 0;prolactinoma;D35.2
M8280 / 0;adenoma acidophilus;D35.2
M8280 / 3;acidophilus carcinoma;C75.1
M8281 / 0;basophil adenoma mixed acidophilic-;D35.2
M8281 / 3;basophil carcinoma mixed acidophilic-;C75.1
M8290 / 0;adenoma oxifílico;
M8290 / 3;adenocarcinoma oxifílico;
M8300 / 0;basophil adenoma;C75.1
M8300 / 3;basophil carcinoma;D35.2
M8310 / 0;Clear cell adenoma;
M8310 / 3;clear cell adenocarcinoma NOS;
M8311 / 1;tumor hipernefróide;
M8312 / 3;Renal cell carcinoma;C64
M8313 / 0;Adenofibroma clear cell;
M8314 / 3;rich in lipids carcinoma;C50.-
M8315 / 3;Carcinoma rich in glycogen;C50.-
M8320 / 3;Granular cell carcinoma;
M8321 / 0;Adenoma main cells;D35.1
M8322 / 0;Adenoma cells clear (water-clear cell);D35.1
M8322 / 3;Clear cell adenocarcinoma (water-clear cell);C75.0
M8323 / 0;Mixed cell adenoma;
M8323 / 3;Mixed cell adenocarcinoma;
M8324 / 0;Lipoadenoma;
M8330 / 0;follicular adenoma;D34
M8330 / 3;follicular adenocarcinoma NOS;C73
M8331 / 3;well-differentiated follicular adenocarcinoma;C73
M8332 / 3;follicular adenocarcinoma trabecular;C73
M8333 / 0;adenoma microfollicular;C73
M8334 / 0;adenoma macrofollicular;D34
M8340 / 3;papillary carcinoma, follicular variant;C73
M8350 / 3;Non-encapsulated sclerosing carcinoma;C73
M8360 / 1;multiple endocrine adenomas;
M8361 / 1;juxtaglomerular tumor;D41.0
M8370 / 0;Adenoma of the adrenal cortex NOS;D35.0
M8370 / 3;Carcinoma of adrenal cortex;C74.0
M8371 / 0;Adenoma of the adrenal cortex of compact cells;D35.0
M8372 / 0;Adenoma of the adrenal cortex, heavily pigmented variant;D35.0
M8373 / 0;Adenoma of the adrenal cortex, clear cell;D35.0
M8374 / 0;Adenoma, adrenal cortex cells of glomerulosas;D35.0
M8375 / 0;Adenoma of the adrenal cortex, mixed cell;D35.0
M8380 / 0;Endometrioid adenoma SOE;D27
M8380 / 1;"Endometrioid adenoma ""borderline""";D39.1
M8380 / 3;endometrioid carcinoma;C56
M8381 / 0;Adenofibroma endometrioid SOE;D27
M8381 / 1;"Adenofibroma endometrioid ""borderline""";D39.1
M8381 / 3;Adenofibroma evil endometróide;C56
M8390 / 0;Adenoma skin appendage;D23.-
M8390 / 3;skin appendage carcinoma;C44.-
M8400 / 0;Adenoma of sweat gland;D23.-
M8400 / 1;sweat gland tumor NOS;D48.5
M8400 / 3;Adenocarcinoma of sweat gland;C44.-
M8401 / 0;apocrine adenoma;
M8401 / 3;apocrine adenocarcinoma;
M8402 / 0;Acrospiroma eccrine;D23.-
M8403 / 0;Espiradenoma eccrine;D23.-
M8404 / 0;hidrocystoma;D23.-
M8405 / 0;hidradenoma papillary;D23.-
M8406 / 0;Siringadenoma papillary;D23.-
M8407 / 0;syringoma SOE;D23.-
M8408 / 0;Adenoma papillary eccrine;C44.-
M8410 / 0;sebaceous adenoma;D23.-
M8410 / 3;adenocarcinoma sebaceous;C44.-
M8420 / 0;adenoma ceruminous;D23.2
M8420 / 3;adenocarcinoma ceruminous;C44.2
M8430 / 1;mucoepidermoid tumor;
M8430 / 3;mucoepidermoid carcinoma;
M8440 / 0;cystadenoma SOE;
M8440 / 3;cystadenocarcinoma SOE;
M8441 / 0;Cystadenoma serous SOE;D27
M8441 / 3;Serous cystadenocarcinoma SOE;C56
M8442 / 3;"Serous cystadenoma ""borderline""";C56
M8450 / 0;Papillary cystadenoma SOE;D27
M8450 / 3;SOE papillary cystadenocarcinoma;C56
M8451 / 3;"Papillary cystadenoma ""borderline""";C56
M8452 / 1;Cystic papillary tumor;D37.7
M8460 / 0;Papillary serous cystadenoma SOE;D27
M8460 / 3;Papillary serous cystadenocarcinoma;C56
M8461 / 0;serous papilloma surface;D27
M8461 / 3;surface serous papillary carcinoma;C56
M8462 / 3;"Papillary serous cystadenoma ""borderline""";C56
M8470 / 0;Mucinous cystadenoma SOE;D27
M8470 / 3;mucinous cystadenocarcinoma;C56
M8471 / 0;Cystadenoma mucinous papillary SOE;D27
M8471 / 3;Mucinous cystadenocarcinoma papillary;C56
M8472 / 3;"Mucinous cystadenoma ""borderline""";C56
M8473 / 3;"Cystadenoma mucinous papillary ""borderline""";C56
M8480 / 0;mucinous adenoma;
M8480 / 3;mucinous adenocarcinoma;
M8480 / 6;Pseudomyxoma of peritoneum;C78.6
M8481 / 3;Adenocarcinoma producer mucin;
M8490 / 3;Carcinoma cells signet ring;
M8490 / 6;Metastatic cells signet ring;
M8500 / 2;intraductal carcinoma noninfiltrating SOE;
M8500 / 3;Infiltrating duct carcinoma;C50.-
M8501 / 2;Comedocarcinoma noninfiltrating;D05.-
M8501 / 3;comedocarcinoma SOE;C50.-
M8502 / 3;juvenile breast carcinoma;C50.-
M8503 / 0;intraductal papilloma;
M8503 / 2;intraductal papillary adenocarcinoma noninfiltrating;D05.-
M8503 / 3;Papillary intraductal adenocarcinoma with invasion;C50.-
M8504 / 0;Adenoma papillary intracystic;
M8504 / 2;intracystic carcinoma noninfiltrating;
M8504 / 3;intracystic carcinoma NOS;
M8505 / 0;Intraductal papillomatosis SOE;
M8506 / 0;Adenoma of the nipple;D24
M8510 / 3;medullary carcinoma NOS;
M8511 / 3;Medullary carcinoma with amyloid stroma;C73
M8512 / 3;medullary carcinoma with lymphoid stroma;C50.-
M8520 / 2;Lobular carcinoma in situ;D05.0
M8520 / 3;lobular carcinoma NOS;C50.-
M8521 / 3;ductular infiltrating carcinoma;C50.-
M8522 / 2;intraductel carcinoma and lobular carcinoma in situ;D05.7
M8522 / 3;infiltrating carcinoma and lobular ducts;C50.-
M8530 / 3;inflammatory carcinoma;C50.-
M8540 / 3;mammary Paget's disease;C50.-
M8541 / 3;Paget's disease and infiltrating breast carcinoma ducts;C50.-
M8542 / 3;Extramammary Paget's disease (except bone Paget's disease);
M8543 / 3;Paget's disease and breast carcinoma, intraductal;C50.-
M8550 / 0;Adenoma acinar cells;
M8550 / 1;Tumor acinar cells;
M8551 / 0;Acinar cell carcinoma;
M8560 / 3;adenosquamous carcinoma;
M8561 / 0;adenolymphoma;D11.-
M8562 / 3;Epithelial-myoepithelial carcinoma;
M8570 / 3;Adenocarcinoma with squamous metaplasia;
M8571 / 3;Adenocarcinoma with cartilaginous and osseous metaplasia;
M8572 / 3;Adenocarcinoma with spindle cell metaplasia;
M8573 / 3;Adenocarcinoma with apocrine metaplasia;
M8580 / 0;benign thymoma;D15.0
M8580 / 3;thymoma evil;C37
M8590 / 1;Tumor of sex cord and stroma;
M8600 / 0;Tecoma SOE;D27
M8600 / 3;Tecoma evil;C56
M8601 / 3;Tecoma luteinized;D27
M8602 / 0;Sclerosing tumor stroma;D27
M8610 / 0;luteoma SOE;D27
M8620 / 1;granulosa cell tumor NOS;D39.1
M8620 / 3;Malignant neoplasm of granulosa cells;C56
M8621 / 1;granulosa cell tumor and theca cells;D39.1
M8622 / 1;juvenile granulosa cell tumor;D39.1
M8623 / 1;Tumor sexual tubules with annular beads;D39.1
M8630 / 0;androblastoma benign;
M8630 / 1;androblastoma SOE;
M8630 / 3;androblastoma evil;
M8631 / 0;Sertoli-Leydig Cell Tumor;
M8632 / 1;Ginandroblastoma;D39.1
M8640 / 0;Tumor NOS Sertoli cells;
M8640 / 3;Sertoli cell carcinoma;C62.-
M8641 / 0;Sertoli cell tumor lipid deposit with;D27
M8650 / 0;A benign tumor of Leydig cells;D29.2
M8650 / 1;Leydig tumor cells NOS;D40.1
M8650 / 3;Malignant neoplasm of Leydig cells;C62.-
M8660 / 0;hilar cell tumor;D27
M8670 / 0;lipid cell tumor of the ovary;D27
M8671 / 0;accessory adrenal tumor [adrenal rest];
M8680 / 1;paraganglioma SOE;
M8680 / 3;paraganglioma evil;
M8681 / 1;paraganglioma friendly;
M8682 / 1;paraganglioma parasympathetic;
M8683 / 0;paraganglioma gangliocítico;D13.2
M8690 / 1;Jugular glomus tumor;D44.7
M8691 / 1;Aortic body tumor;D44.7
M8692 / 1;carotid body tumor;D44.6
M8693 / 1;Paraganglioma extra-adrenal SOE;
M8693 / 3;Paraganglioma extra-adrenal malignant;
M8700 / 0;pheochromocytoma SOE;D35.0
M8700 / 3;malignant pheochromocytoma;C74.1
M8710 / 3;Glomangiossarcoma;
M8711 / 0;Tumor glomo;
M8712 / 3;glomangioma;
M8713 / 0;glomangiomyoma;
M8720 / 0;Pigmented nevus SOE;D22.-
M8720 / 2;Melanoma in situ;D03.-
M8720 / 3;Malignant melanoma SOE;D22.-
M8721 / 3;nodular melanoma;C43.-
M8722 / 0;Nevus cells ballooned;C43.-
M8722 / 3;Melanoma cells ballooned;C43.-
M8723 / 0;halo nevus;D22.-
M8723 / 3;Malignant melanoma regression;C43.-
M8724 / 0;fibrous papule of the nose;D22.3
M8725 / 0;Neuronevo;D22.-
M8726 / 0;Nevo magnocelular;D31.4
M8727 / 0;dysplastic nevus;D22.-
M8730 / 0;Nevo non-pigmented;D22.-
M8730 / 3;melanoma amelanotic;C43.-
M8740 / 0;Junctional nevus SOE;D22.-
M8740 / 3;malignant melanoma in nevus junctional;C43.-
M8741 / 2;NOS precancerous melanosis;D03.-
M8741 / 3;malignant melanoma in precancerous melanosis;D03.-
M8742 / 2;Melanotic freckle of Hutchinson SOE;C43.-
M8742 / 3;malignant melanoma in melanotic freckle of Hutchinson;C43.-
M8743 / 3;Superficial spreading melanoma;C43.-
M8744 / 3;lentiginous malignant melanoma of the peripheral edges;C43.-
M8745 / 3;Desmoplastic malignant melanoma;C43.-
M8750 / 0;intradermal nevus;D22.-
M8760 / 0;compound nevus;D22.-
M8761 / 1;Pigmented nevus giant SOE;D48.5
M8761 / 3;malignant melanoma in giant pigmented nevus;C43.-
M8770 / 0;Nevo epithelioid and spindle cell;D22.-
M8770 / 3;Melanoma mixed epithelioid and spindle cell;
M8771 / 0;Epithelioid cell nevus;D22.-
M8771 / 3;Epithelioid melanoma;
M8772 / 0;Spindle cell nevus;D22.-
M8772 / 3;Spindle cell melanoma NOS;
M8773 / 3;Spindle cell melanoma, type A;C69.4
M8774 / 3;Spindle cell melanoma, Type B;C69.4
M8780 / 0;blue nevus SOE;D22.-
M8780 / 3;Malignant blue nevus;C43.-
M8790 / 0;Nevus cell blue;D22.-
M8800 / 0;A benign tumor of soft tissue;
M8800 / 3;sarcoma SOE;
M8800 / 6;sarcomatosis SOE;
M8801 / 3;Spindle cell sarcoma;
M8802 / 3;Giant cell sarcoma (except bone M9250 / 3);
M8803 / 3;Small Cell Sarcoma;
M8804 / 3;epithelioid sarcoma;
M8810 / 0;fibroma SOE;
M8810 / 3;fibrosarcoma SOE;
M8811 / 0;Fibromixoma SOE;
M8811 / 3;Firbromixossarcoma;
M8812 / 0;fibroma periosteal;D16
M8812 / 3;fibrosarcoma periosteal;C40 .-, C41.-
M8813 / 0;Fibroma fascia;
M8813 / 3;Fibrosarcoma fascia;
M8814 / 3;fibrosarcoma child;
M8820 / 0;elastofibroma;
M8821 / 1;aggressive fibromatosis;
M8822 / 1;abdominal fibromatosis;
M8823 / 1;desmoplastic fibroma;
M8824 / 1;myofibromatosis;
M8830 / 0;NOS fibrous histiocytoma;
M8830 / 1;atypical fibrous histiocytoma;
M8830 / 3;malignant fibrous histiocytoma;
M8832 / 0;dermatofibroma SOE;D23.-
M8832 / 3;dermatofibrosarcoma SOE;C44.-
M8833 / 3;Dermatofibrosarcoma protuberans pigmented;
M8840 / 0;myxoma SOE;
M8840 / 3;myxosarcomas;
M8841 / 1;angiomyxoma;
M8850 / 0;lipoma NOS;D17.-
M8850 / 3;liposarcoma SOE;
M8851 / 0;fibrolipoma;D17.-
M8851 / 3;Well-differentiated liposarcoma;
M8852 / 0;Fibromixolipoma;D17.-
M8852 / 3;myxoid liposarcoma;
M8853 / 3;Round cell liposarcoma;
M8854 / 0;pleomorphic lipoma;D17.-
M8854 / 3;pleomorphic liposarcoma;
M8855 / 3;liposarcoma mixed;
M8856 / 0;intramuscular lipoma;D17.-
M8857 / 0;Spindle cell lipoma;D17.-
M8858 / 3;dedifferentiated liposarcoma;
M8860 / 0;angiomyolipoma;D17.-
M8861 / 0;angiolipoma SOE;D17.-
M8870 / 0;myelolipoma;D17.-
M8880 / 0;hibernoma;D17.-
M8881 / 0;Lipoblastomatose;D17.-
M8890 / 0;leiomyoma SOE;
M8890 / 1;SOE leiomyomata;
M8890 / 3;leiomyosarcoma SOE;
M8891 / 0;epithelioid leiomyoma;
M8892 / 0;leiomyoma cell;
M8893 / 0;bizarre leiomyoma;
M8894 / 0;angiomyoma;
M8894 / 3;Angiomiossarcoma;
M8895 / 0;myoma;
M8895 / 3;myosarcoma;
M8896 / 3;myxoid leiomyosarcoma;
M8897 / 1;smooth muscle tumor NOS;
M8900 / 0;rhabdomyoma SOE;
M8900 / 3;rhabdomyosarcoma SOE;
M8901 / 3;pleomorphic rhabdomyosarcoma;
M8902 / 3;Rhabdomyosarcoma mixed type;
M8903 / 0;fetal rhabdomyoma;
M8904 / 0;rhabdomyoma adult;
M8910 / 3;embryonal rhabdomyosarcoma;
M8920 / 3;alveolar rhabdomyosarcoma;
M8930 / 0;Nodule endometrial stromal;D26.1
M8930 / 3;endometrial stromal sarcoma;C54.-
M8931 / 1;Miosis endolymphatic stromal;D39.0
M8932 / 0;adenomyoma;
M8933 / 3;Adenosarcoma;
M8940 / 0;pleomorphic adenoma;
M8940 / 3;malignant mixed tumor NOS;
M8941 / 3;Carcinoma in pleomorphic adenoma;C07, C08.-
M8950 / 3;Mullerian mixed tumor;C54.-
M8951 / 3;Mixed mesodermal tumor;
M8960 / 1;mesoblastic nephroma;
M8960 / 3;nefroblastoma SOE;C64
M8963 / 3;rhabdoid sarcoma;
M8964 / 3;Sarcoma Kidney clear cell;C64
M8970 / 3;hepatoblastoma;C22.0
M8971 / 3;pancreatoblastoma;C25.-
M8972 / 3;pulmonary blastoma;C34.-
M8980 / 3;carcinossarcoma SOE;
M8981 / 3;carcinossarcoma embryonic;
M8982 / 0;myoepithelioma;
M8990 / 0;mesenchymoma benign;
M8990 / 1;mesenchymoma SOE;
M8990 / 3;mesenchymoma evil;
M8991 / 3;embryonal sarcoma;
M9000 / 0;Brenner tumor NOS;D27
M9000 / 1;"Brenner tumor ""borderline""";D39.1
M9000 / 3;malignant Brenner tumor;C56
M9010 / 0;fibroadenoma SOE;D24
M9011 / 0;fibroadenoma intracanalicular;D24
M9012 / 0;fibroadenoma pericanalicular;D24
M9013 / 0;adenofibroma SOE;D27
M9014 / 0;adenofibroma serous;D27
M9015 / 0;adenofibroma mucinous;D27
M9016 / 0;giant fibroadenoma;D27
M9020 / 0;Benign phyllodes tumor;D24
M9020 / 1;Phyllodes tumor NOS;D48.6
M9020 / 3;Tumor malignant phyllodes;C50.-
M9030 / 3;fibroadenoma youth;D24
M9040 / 0;synovioma benign;
M9040 / 3;synovial sarcoma NOS;
M9041 / 3;synovial sarcoma, spindle cell;
M9042 / 3;synovial sarcoma epithelioid;
M9043 / 3;biphasic synovial sarcoma;
M9044 / 3;Clear cell sarcoma (except kidney M8964 / 3);
M9050 / 0;benign mesothelioma;D19.-
M9050 / 3;malignant mesothelioma;C45.-
M9051 / 0;benign fibrous mesothelioma;D19.-
M9051 / 3;malignant fibrous mesothelioma;C45.-
M9052 / 0;Epithelioid mesothelioma benign;D19.-
M9052 / 3;Epithelioid malignant mesothelioma;C45.-
M9053 / 0;benign biphasic mesothelioma;D19.-
M9053 / 3;biphasic malignant mesothelioma;C45.-
M9054 / 0;Adenomatoid tumor NOS;D19.-
M9055 / 1;cystic mesothelioma;
M9060 / 3;disgerminoma;
M9061 / 3;seminoma SOE;C62.-
M9062 / 3;anaplastic seminoma;C62.-
M9063 / 3;seminoma espermatocítico;C62.-
M9064 / 3;germinoma;
M9070 / 3;embryonal carcinoma NOS;
M9071 / 3;endodermal sinus tumor;
M9072 / 3;Poliembrioma;
M9073 / 1;gonadoblastoma;
M9080 / 0;benign teratoma;
M9080 / 1;SOE teratoma;
M9080 / 3;malignant teratoma SOE;
M9081 / 3;teratocarcinoma;
M9082 / 3;undifferentiated malignant teratoma;
M9083 / 3;malignant teratoma intemediário;
M9084 / 0;Dermoid cyst NOS;
M9084 / 3;Teratoma with malignant transformation;
M9085 / 3;mixed germ cell tumor;
M9090 / 0;ovarian Estruma SOE;D27
M9090 / 3;Estruma malignant ovarian;C56
M9091 / 1;carcinoid estrumal;D39.1
M9100 / 0;hydatidiform SOE spring;O01.9
M9100 / 1;Spring invasive hidatiforma;D39.2
M9100 / 3;choriocarcinoma SOE;
M9101 / 3;Choriocarcinoma combined with other elements germ cells;
M9102 / 3;malignant teratoma trophoblastic;C62.-
M9103 / 0;Spring partial hydatidiform;O01.1
M9104 / 1;Trophoblastic tumor of placental site;D39.2
M9110 / 0;Mesomefroma benign;
M9110 / 1;mesonephric tumor;
M9110 / 3;Mesomefroma evil;
M9120 / 0;hemangioma SOE;D18.0
M9120 / 3;hemangiosarcoma;
M9121 / 0;hemangioma cavernous;D18.0
M9122 / 0;venous hemangioma;D18.0
M9123 / 0;hemangioma racemosa;D18.0
M9124 / 3;Kupfer cells of Sarcoma;C22.3
M9125 / 0;hemangioma epitelióde;D18.0
M9126 / 0;hemangioma histiocytic;D18.0
M9130 / 0;benign hemangioendothelioma;D18.0
M9130 / 1;hemangioendothelioma SOE;
M9130 / 3;hemangioendothelioma evil;
M9131 / 0;capillary Hemangioma;D18.0
M9132 / 0;intramuscular hemangioma;D18.0
M9133 / 1;Epithelioid hemangioendothelioma SOE;
M9133 / 3;Epithelioid malignant hemangioendothelioma;
M9134 / 1;Tumor alveolar intravascular bronchus;D38.1
M9140 / 3;Kaposi's sarcoma;C46.-
M9141 / 0;angiokeratoma;
M9142 / 0;Hemangioma queratótico warty;D18.0
M9150 / 0;hemangiopericitoma benign;
M9150 / 1;hemangiopericitoma SOE;
M9150 / 3;hemangiopericitoma evil;
M9160 / 0;angiofibroma SOE;
M9161 / 1;hemangioblastoma;
M9170 / 0;lymphangioma SOE;D18.1
M9170 / 3;Lymphangiosarcoma;
M9171 / 0;capillary lymphangioma;D18.1
M9172 / 0;lymphangioma cavernosum;D18.1
M9173 / 0;cystic lymphangioma;D18.1
M9174 / 0;Lymphangiomyoma;D18.1
M9174 / 1;lymphangiomyomatosis;
M9175 / 0;Hemolinfangioma;D18.1
M9180 / 0;osteoma SOE;D16.-
M9180 / 3;osteosarcoma SOE;C40 .-, C41.-
M9181 / 3;osteosarcoma chondroblastic;C40 .-, C41.-
M9182 / 3;osteosarcoma fibroblast;C40 .-, C41.-
M9183 / 3;osteosarcoma telangiectasic;C40 .-, C41.-
M9184 / 3;Osteosarcoma in bone Paget's disease;C40 .-, C41.-
M9185 / 3;Small cell osteosarcoma;C40 .-, C41.-
M9190 / 3;osteosarcoma juxtacortical;C40 .-, C41.-
M9191 / 0;Osteoid osteoma SOE;D16.-
M9200 / 0;osteoblastomas SOE;D16.-
M9200 / 1;osteoblastomas aggressive;D48.0
M9210 / 0;osteochondroma;D16.-
M9210 / 1;osteochondromatosis SOE;D48.0
M9220 / 0;chondroma SOE;D16.-
M9220 / 1;chondromatosis SOE;
M9220 / 3;chondrosarcoma SOE;C40 .-, C41.-
M9221 / 0;chondroma juxtacortical;D16.-
M9221 / 3;chondrosarcoma juxtacortical;C40 .-, C41.-
M9230 / 0;chondroblastoma SOE;D16.-
M9230 / 3;chondroblastoma evil;C40 .-, C41.-
M9231 / 3;myxoid chondrosarcoma;
M9240 / 3;mesenchymal chondrosarcoma;
M9241 / 0;fibrosarcoma chondromyxoid;D16.-
M9250 / 1;giant cell tumor of bone, NOS;D48.0
M9250 / 3;Malignant neoplasm of bone giant cells;C40 .-, C41.-
M9251 / 1;Giant cell tumor of soft tissue, NOS;
M9251 / 3;Malignant neoplasm of soft tissues giant cells;
M9260 / 3;Ewing's sarcoma;C40 .-, C41.-
M9261 / 3;Adamantinoma of long bones;C40.-
M9262 / 0;ossifying fibroma;D16.-
M9270 / 0;Tumor benign dental;D16.4, D16.5
M9270 / 1;odontogenic tumor NOS;D48.0
M9270 / 3;Tumor malignant odontogenic;C41.0, C41.1
M9271 / 0;dentinoma;D16.4, D16.5
M9272 / 0;cementoma SOE;D16.4, D16.5
